Brand,Description,Size,YearMonth,UnitsSold,Revenue,UnitsReceived,PurchaseCost,SupplyGap,CoverRatio,PlanningStatus
58,Gekkeikan Black & Gold Sake,750mL,2024-01,244,3169.56,256.0,2375.68,12.0,1.05,Well Balanced
58,Gekkeikan Black & Gold Sake,750mL,2024-02,287,3728.13,287.0,2663.36,0.0,1.0,Well Balanced
58,Gekkeikan Black & Gold Sake,750mL,2024-03,240,3117.6,283.0,2626.24,43.0,1.18,Well Balanced
58,Gekkeikan Black & Gold Sake,750mL,2024-04,246,3195.54,234.0,2171.52,-12.0,0.95,Well Balanced
58,Gekkeikan Black & Gold Sake,750mL,2024-05,210,2727.9,217.0,2013.76,7.0,1.03,Well Balanced
58,Gekkeikan Black & Gold Sake,750mL,2024-06,305,3961.95,343.0,3183.04,38.0,1.12,Well Balanced
58,Gekkeikan Black & Gold Sake,750mL,2024-07,280,3637.2,242.0,2245.7599999999998,-38.0,0.86,Well Balanced
58,Gekkeikan Black & Gold Sake,750mL,2024-08,317,3483.83,324.0,3006.72,7.0,1.02,Well Balanced
58,Gekkeikan Black & Gold Sake,750mL,2024-09,279,3504.21,295.0,2737.6,16.0,1.06,Well Balanced
58,Gekkeikan Black & Gold Sake,750mL,2024-10,364,4060.36,345.0,3201.6,-19.0,0.95,Well Balanced
58,Gekkeikan Black & Gold Sake,750mL,2024-11,265,3442.35,331.0,3071.68,66.0,1.25,Well Balanced
58,Gekkeikan Black & Gold Sake,750mL,2024-12,409,5312.91,393.0,3647.04,-16.0,0.96,Well Balanced
60,Canadian Club 1858 VAP,750mL,2024-01,120,1318.8,0.0,0.0,-120.0,0.0,No Replenishment
60,Canadian Club 1858 VAP,750mL,2024-02,92,919.08,11.0,81.4,-81.0,0.12,Under-Ordered
60,Canadian Club 1858 VAP,750mL,2024-03,50,549.5,31.0,229.4,-19.0,0.62,Under-Ordered
60,Canadian Club 1858 VAP,750mL,2024-04,22,221.78,3.0,22.2,-19.0,0.14,Under-Ordered
60,Canadian Club 1858 VAP,750mL,2024-05,13,142.87,0.0,0.0,-13.0,0.0,No Replenishment
60,Canadian Club 1858 VAP,750mL,2024-06,5,54.95,0.0,0.0,-5.0,0.0,No Replenishment
60,Canadian Club 1858 VAP,750mL,2024-07,3,32.97,0.0,0.0,-3.0,0.0,No Replenishment
60,Canadian Club 1858 VAP,750mL,2024-09,4,43.96,6.0,44.4,2.0,1.5,Well Balanced
60,Canadian Club 1858 VAP,750mL,2024-10,172,1886.28,1378.0,10197.199999999999,1206.0,8.01,Over-Ordered
60,Canadian Club 1858 VAP,750mL,2024-11,590,5894.1,59.0,436.59999999999997,-531.0,0.1,Under-Ordered
60,Canadian Club 1858 VAP,750mL,2024-12,704,7651.96,145.0,1073.0,-559.0,0.21,Under-Ordered
61,Margaritaville Silver,750mL,2024-01,24,335.76,36.0,381.6,12.0,1.5,Well Balanced
61,Margaritaville Silver,750mL,2024-02,36,503.64,24.0,254.4,-12.0,0.67,Under-Ordered
61,Margaritaville Silver,750mL,2024-03,24,335.76,24.0,254.4,0.0,1.0,Well Balanced
61,Margaritaville Silver,750mL,2024-04,24,335.76,24.0,254.4,0.0,1.0,Well Balanced
61,Margaritaville Silver,750mL,2024-05,24,335.76,24.0,254.4,0.0,1.0,Well Balanced
61,Margaritaville Silver,750mL,2024-06,24,335.76,24.0,254.4,0.0,1.0,Well Balanced
61,Margaritaville Silver,750mL,2024-07,36,503.64,36.0,381.6,0.0,1.0,Well Balanced
61,Margaritaville Silver,750mL,2024-08,24,335.76,24.0,254.4,0.0,1.0,Well Balanced
61,Margaritaville Silver,750mL,2024-09,24,335.76,24.0,254.4,0.0,1.0,Well Balanced
61,Margaritaville Silver,750mL,2024-10,12,167.88,24.0,254.4,12.0,2.0,Over-Ordered
61,Margaritaville Silver,750mL,2024-11,36,503.64,36.0,381.6,0.0,1.0,Well Balanced
61,Margaritaville Silver,750mL,2024-12,24,335.76,12.0,127.2,-12.0,0.5,Under-Ordered
62,Herradura Silver Tequila,750mL,2024-01,127,5257.7300000000005,182.0,5217.9400000000005,55.0,1.43,Well Balanced
62,Herradura Silver Tequila,750mL,2024-02,233,8618.67,215.0,6164.05,-18.0,0.92,Well Balanced
62,Herradura Silver Tequila,750mL,2024-03,159,6676.41,181.0,5189.27,22.0,1.14,Well Balanced
62,Herradura Silver Tequila,750mL,2024-04,267,9971.33,231.0,6622.77,-36.0,0.87,Well Balanced
62,Herradura Silver Tequila,750mL,2024-05,210,8767.9,224.0,6422.08,14.0,1.07,Well Balanced
62,Herradura Silver Tequila,750mL,2024-06,369,13649.310000000001,414.0,11869.380000000001,45.0,1.12,Well Balanced
62,Herradura Silver Tequila,750mL,2024-07,452,16719.48,434.0,12442.78,-18.0,0.96,Well Balanced
62,Herradura Silver Tequila,750mL,2024-08,346,12798.54,452.0,12958.84,106.0,1.31,Well Balanced
62,Herradura Silver Tequila,750mL,2024-09,223,9008.77,196.0,5619.320000000001,-27.0,0.88,Well Balanced
62,Herradura Silver Tequila,750mL,2024-10,251,9364.49,259.0,7425.530000000001,8.0,1.03,Well Balanced
62,Herradura Silver Tequila,750mL,2024-11,167,7012.33,161.0,4615.87,-6.0,0.96,Well Balanced
62,Herradura Silver Tequila,750mL,2024-12,321,12018.79,251.0,7196.17,-70.0,0.78,Under-Ordered
63,Herradura Reposado Tequila,750mL,2024-01,106,4577.9400000000005,152.0,4629.92,46.0,1.43,Well Balanced
63,Herradura Reposado Tequila,750mL,2024-02,204,7963.96,162.0,4934.5199999999995,-42.0,0.79,Under-Ordered
