Brand,Description,Price,Size,Volume,Classification,PurchasePrice,VendorNumber,VendorName_x,VendorName_y,AnnualDemand,AnnualRevenue,FirstSaleDate,LastSaleDate,StoreCount,AvgDailyDemand,UnitsPurchased,PurchaseCost,OrderCount,AvgLeadDays,OpeningStock,ClosingStock,StockTurnover,ClosingDaysCover,GrossProfit,ProfitMarginPct,ReorderSignal,Lifecycle
15529,Goose Ridge Red g3,16.99,750mL,750,2,5.19,4425,MARTIGNETTI COMPANIES,MARTIGNETTI COMPANIES,72.0,575.28,2024-01-29,2024-01-29,1.0,0.2,0.0,0.0,0.0,0.0,72.0,0.0,,0.0,575.28,100.0,OUT OF STOCK,End of Life
15542,Tiziano Prosecco,16.99,750mL,750,2,11.1,9552,M S WALKER INC             ,M S WALKER INC             ,90.0,1529.1,2024-01-15,2024-12-30,5.0,0.25,84.0,932.3999999999999,6.0,8.43,24.0,18.0,1.071,72.0,596.7,39.02,HEALTHY,Fast Mover
15645,Obsidian Ridge Cab Svgn,28.99,750mL,750,2,19.99,9552,M S WALKER INC             ,M S WALKER INC             ,3.0,86.97,2024-06-16,2024-06-16,1.0,0.01,3.0,59.97,1.0,12.0,0.0,0.0,1.0,0.0,27.0,31.05,OUT OF STOCK,End of Life
15650,Cuvee de Pena Rose,11.99,750mL,750,2,7.84,10754,PERFECTA WINES             ,PERFECTA WINES             ,354.0,4213.46,2024-05-07,2024-12-27,12.0,0.97,567.0,4445.28,18.0,6.44,0.0,0.0,0.624,0.0,-231.82,-5.5,OUT OF STOCK,Regular
15688,Cheval Blanc St Emilion 08,499.99,750mL,750,2,299.99,10754,PERFECTA WINES             ,PERFECTA WINES             ,16.0,7199.84,2024-01-07,2024-11-25,2.0,0.04,12.0,3599.88,2.0,6.0,16.0,12.0,1.333,300.0,3599.96,50.0,HEALTHY,Fast Mover
15720,Clos Rochette Faiveley 09,19.99,750mL,750,2,13.33,9744,FREDERICK WILDMAN & SONS   ,FREDERICK WILDMAN & SONS   ,28.0,559.7199999999999,2024-01-12,2024-12-16,3.0,0.08,36.0,479.88,2.0,8.0,18.0,26.0,0.778,325.0,79.84,14.26,HEALTHY,Regular
15747,BV Coastal Estate Red,10.99,750mL,750,2,6.16,1590,DIAGEO CHATEAU ESTATE WINES,DIAGEO CHATEAU ESTATE WINES,41.0,450.59,2024-01-29,2024-12-28,3.0,0.11,72.0,443.52,4.0,7.25,10.0,41.0,0.569,373.0,7.07,1.57,HEALTHY,Regular
15774,Paul D Zweigelt Weinland,13.99,1000mL,1000,2,7.61,90047,CRUSH WINES                ,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,OUT OF STOCK,Dead Product
15832,Sunday Mtn Svgn Bl,15.99,750mL,750,2,10.45,10754,PERFECTA WINES             ,PERFECTA WINES             ,198.0,3166.02,2024-01-09,2024-12-19,3.0,0.54,216.0,2257.2000000000003,10.0,7.09,58.0,76.0,0.917,141.0,908.82,28.71,HEALTHY,Fast Mover
15846,Merry Edwards Svgn Bl RRV,24.99,375mL,375,2,17.23,4425,MARTIGNETTI COMPANIES,MARTIGNETTI COMPANIES,46.0,1149.54,2024-01-07,2024-12-30,3.0,0.13,28.0,482.44,3.0,9.33,35.0,17.0,1.643,131.0,667.1,58.03,HEALTHY,Fast Mover
15859,Roland Lavantureux Chablis,27.99,750mL,750,2,18.79,4425,MARTIGNETTI COMPANIES,MARTIGNETTI COMPANIES,341.0,8640.59,2024-01-08,2024-12-30,28.0,0.93,638.0,11988.02,7.0,7.71,64.0,361.0,0.534,388.0,-3347.43,-38.74,HEALTHY,Regular
